Server running on port 3000
Received update for USLAB000091: 1
Received update for USLAB000092: 1
Received update for USLAB000093: 0
Received update for USLAB000094: 1
Received update for USLAB000095: 16
Received update for USLAB000096: 4
Received update for USLAB000097: 19
Received update for USLAB000098: 0
Received update for USLAB000099: 0
Received update for USLAB000100: 0
Received update for USLAB000101: 0
Received update for Z1000013: 1
Received update for Z1000014: -45.01099395751953125
Received update for Z1000015: -14.67773723602294921875
Received update for S0000001: 24.5745792388916015625
Received update for S0000002: 15.06591320037841796875
Received update for S0000003: 318.970306396484375
Received update for S0000004: 41.0797271728515625
Received update for S0000005: 41.329456329345703125
Received update for S0000006: 4
Received update for S0000007: 4
Received update for S0000008: 5
Received update for S0000009: 5
Received update for USLAB000081: 0
Received update for RUSSEG000001: 7
Received update for RUSSEG000002: 0
Received update for RUSSEG000003: 0
Received update for RUSSEG000004: 0
Received update for RUSSEG000005: 0
Received update for RUSSEG000006: 0
Received update for RUSSEG000007: 0
Received update for RUSSEG000008: 0
Received update for RUSSEG000009: 0
Received update for RUSSEG000010: 0
Received update for RUSSEG000011: 0
Received update for RUSSEG000012: 0
Received update for RUSSEG000013: 1
Received update for RUSSEG000014: 1
Received update for RUSSEG000016: 1
Received update for RUSSEG000017: 1
Received update for RUSSEG000018: 0
Received update for RUSSEG000019: 1
Received update for RUSSEG000020: 0
Received update for RUSSEG000021: 1
Received update for RUSSEG000022: 0
Received update for RUSSEG000023: 0
Received update for RUSSEG000024: 0
Received update for S1000005: 46.799999237060546875
Received update for USLAB000001: 1
Received update for USLAB000002: 1
Received update for USLAB000003: 1
Received update for USLAB000004: 1
Received update for USLAB000005: 4
Received update for USLAB000006: -0.29217940142211318299558797662029974162578582763671875
Received update for USLAB000007: 6.64142464561271683720633518532849848270416259765625
Received update for USLAB000008: -0.06797156868567318099838558964620460756123065948486328125
Received update for USLAB000009: 1141.256739655151250190101563930511474609375
Received update for USLAB000011: 0
Received update for USLAB000013: 2
Received update for USLAB000014: 2
Received update for USLAB000015: 4
Received update for USLAB000016: 1
Received update for USLAB000017: 0
Received update for USLAB000018: 0.99698650836944580078125
Received update for USLAB000019: 0.0041992221958935260772705078125
Received update for USLAB000020: -0.06955809891223907470703125
Received update for USLAB000021: -0.03408764302730560302734375
Received update for USLAB000022: -0.1507661545115523138438362593660713173449039459228515625
Received update for USLAB000023: -0.1455605880073271574115523208092781715095043182373046875
Received update for USLAB000024: 0.01148609861322620433188301802829300868324935436248779296875
Received update for USLAB000025: 0.004811331796406011739042352104434030479751527309417724609375
Received update for USLAB000026: -0.064770393563783723589466490011545829474925994873046875
Received update for USLAB000027: 0.00015818502201273078083994250153665461766649968922138214111328125
Received update for USLAB000028: 0.997064411640167236328125
Received update for USLAB000029: 0.00545731373131275177001953125
Received update for USLAB000030: -0.068245224654674530029296875
Received update for USLAB000031: -0.0342837460339069366455078125
Received update for USLAB000038: 19523.3528587929686182178556919097900390625
